,artist,song,link,text
48058,Peter Cetera,Livin' In The Limelight,/p/peter+cetera/livin+in+the+limelight_20107372.html,"Everybody wants to be a star   Living in the limelight   A big house and a fancy car   Living in the limelight   Everybody gonna know your name   Surely pleased to meet you   Ask you for your autograph   See your latest feature   In the middle of the middle of a dream   Living in the limelight   See yourself on the silver screen   Living in the limelight      How you gonna keep 'em down on the farm   Never make 'em happy   How you gonna keep 'em close to home   Everybody's leavin', headin' for Hollywood      Everybody has a fantasy   Living in the limelight   A personality   Living in the Limelight   Hypnotisin' the roar of the crowd   Living in the limelight   Never heard of stage fright   First one back for the curtain call   Fall in love with the spotlight   On the cover of a magazine   Living in the limelight   In your limousine   Living in the limelight      Everybody gonna know your name   Living in the limelight   Say, gonna be pleased to meet you   Living in the limelight   Living in the lime, living in the limelight   Living in the limelight   They go to Hollywood, be a star   Living in the limelight      How you gonna keep 'em down on the farm   Never make 'em happy   How you gonna keep 'em close to home   Everybody's leavin', headin' for Hollywood      Everybody wants to be a star   Living in the limelight   A big house and a fancy car   Living in the limelight   Everybody gonna know your name   Surely pleased to meet you   Ask you for your autograph   See your latest feature   In the middle of the middle of a dream   Living in the limelight   See yourself on the silver screen   Living in the limelight  "
48229,Phil Collins,That's Just The Way It Is,/p/phil+collins/thats+just+the+way+it+is_20107983.html,"All day long he was fighting for you   And he didn't even know your name   Young men come and young men go   But life goes on just the same      And I don't know why   Why do we keep holding on   I don't know why   Pretending to be oh so strong   Oh why   Is there something I don't know   Or something very wrong, with you and me   Or maybe      That's the way it is, there's nothing I can do,   That's just the way it is.      They've been waiting for word to come down   They've been waiting for you night and day   They won't wait any longer for you   It may already be too late      And I don't know why.      You see the dying, you feel the pain   What have you got to say   If we agree that we can disagree   We could stop all of this today      It's been your life for as long as you can remember   But you cannot fight no more   You must want to look your son in the eyes   When he asks you what you did it for      'Cos all day long he was fighting for you   And he didn't even know your name   Young men come and young men go   But life goes on just the same      I don't know why...  "
48375,Phish,Poor Heart,/p/phish/poor+heart_20108414.html,"You won't steal my poor heart again   You won't steal my poor heart again   You won't steal my tape recorder   I'll call the Lord and he'll put you in the pen   You won't steal that thing again      I didn't even know your name or what was your game   But stealin' things has sure brought you to fame   I want to know if you stole mine   It was one of a kind and I'm sayin' if you're to blame   Your life will never be the same      I can't track you anymore   Detective work has sure become a bore   So tell me what you did with it   And stop this shit, give up yourself   Before they come knockin' at your door      You won't steal my poor heart again   You won't steal my poor heart again   When I feel the blade of that Cupid sword   I'll call the Lord and he'll put you in the pen   You won't steal that thing again   You won't steal my poor heart again  "
48502,Pitbull,Go Girl,/p/pitbull/go+girl_20662143.html,"(What would the music be without sounds)      [Pitbull]   Young Boss, Miss Trina, Pitbull   Let's show em' how we get down      I Party like a rockstar   I Look like a movie star   I Play like an all star   I Fuck like a pornstar   Baby I'm a superstar   Always posted at the bar   Always wit' a couple broads   Maybe I'm just dat dat raw   Dawg check da resume   I hit somethin' everyday   Ask about me n' dey'll say   That chicko run MIA   Pitbull, young boss   That's fire   Go girl wear it out   'Til your tired   Just tryin' to pay tuition   Liar   My corner is like HBO's wire   So please don't play no games   And baby don't say no names   And we can do this one more again   Next time you can bring your friends      So go get your friends   And I get my friends   And we can be friends   Do dis every weekend      We can hit your place   We can hit my place   She's on my top 8   I bagged her off of myspace      Go girl, Go girl, Go girl, Go girl   Go girl, Go girl, Go girl, Go girl   Shake dem dice and roll em'   Shake dem dice and roll em'   When dey ask u whats dat dance   You say dat's the hustle man      [Young Boss]   Girl I wanna know your name   Girl who u be?   Don't care wif' who you came   As long as u leave wit' me   What chu sippin' on?   I'll buy you a drink   Get u in them shiny things   Yer grill be pink   I see those Jimmy Choos   Those Vera Wangs   I luv the way u work   Girl do your thing   U see my stunna shades   I'm like a star   My click is full of ballas   We at the bar      So go get your friends   And I get my friends   And we can be friends   Do dis every weekend      We can hit your place   We can hit my place   She's on my top 8   I bagged her off of myspace      Go girl, Go girl, Go girl, Go girl   Go girl, Go girl, Go girl, Go girl   Shake dem dice and roll em'   Shake dem dice and roll em'   When dey ask u whats dat dance   You say dat's the hustle man      [Trina]   Diamond princess   I make em' bust quick   Man I back it up   Like a Mack Truck   (Heavy breathing)   Don't talk about it boy   Be about it boy   I got them girls boy   Turn out your girls boy   Just talking freak nig   I'm talking freaky shit   Cuz I'm a freaky bitch      So go get your friends   And I get my friends   And we can be friends   Do dis every weekend      We can hit your place   We can hit my place   She's on my top 8   I bagged her off of myspace      Go girl, Go girl, Go girl, Go girl   Go girl, Go girl, Go girl, Go girl   Shake dem dice and roll em'   Shake dem dice and roll em'   When dey ask u whats dat dance   You say dat's the hustle man  "
51381,Savage Garden,The Lover After Me,/s/savage+garden/lover+after+me_20122128.html,"Here I go again I promised myself I wouldn't think of you today   It's been seven months and counting   You've moved on   I still feel exactly the same   It's just that everywhere I go all the buildings know your name   Like photographs and memories of love   Steel and granite reminders   The city calls your name and I can't move on      Ever since you've been gone   The lights go out the same   The only difference is   You call another name   To your love   To your lover now   To your love   The lover after me      Am I all alone in the universe?   There's no love on these streets   I have given mine away to a world that didn't want it anyway   So this is my new freedom   It's funny I don't remember being chained   But nothing seems to make sense anymore   Without you I'm always twenty minutes late      Ever since you've been gone   The lights go out the same   The only difference is   You call another name   To your love   To your lover now   To your love   The lover after me      And as time goes by so slowly   The nights are cold and lonely   I shouldn't be holding on   But I'm still holding on for you      Here I go again, I promised myself I wouldn't think of you today   But I'm standing at your doorway   I'm calling out your name because I can't move on      Ever since you've been gone   The lights go out the same   The only difference is   You call another name   To your love   To your lover now   To your love   The lover after me  "
52039,Starship,Stranger,/s/starship/stranger_20129669.html,Raindrops falling   Winter feels so gloomy   Hear the knock upon my door   Stranger calling   Eyes that look like mine   Said you know I've called before      What is veiled now soon will be shown   Come walk with me through the unknown      Familiar stranger   Should I know your name   Did we meet some time ago   I feel uncertain   Shadows whisper to me now   Sudden wind begins to blow      What is veiled now soon will be shown   Come walk with me through the unknown      Darkened doorways   Strangest things can happen   Don't know who you're talking to   Find yourself   When lightning strikes you now   You could be looking back at you      What is veiled now soon will be shown   Come walk with me through the unknown      What is veiled now soon will be shown   Come walk with me through the unknown      Stranger      Familiar stranger   Should I know your name   Did we meet some time ago   Are you someone I should know   Did we meet sometime ago  
52925,Ten Years After,I Don't Know That You Don't Know My Name,/t/ten+years+after/i+dont+know+that+you+dont+know+my+name_20135658.html,"Love is all around, I want you to see it from here   Love is just a sound, I want you to hear it from here   I don't know that you don't know my name   But it's all around us just the same   I don't know that you don't know my name   You don't know that I don't know your name      Love is all around, I want you to live it from here   Love is just a sound, I want to sing it for here   I don't know that you don't know my name   But it's all around us just the same   I don't know that you don't know my name   You don't know that I don't know your name      Peace is all around, I want you to need it from here   Peace is just a sound, I want you to hear it from fear   I don't know that you don't know my name   But it's all around us just the same   I don't know that you don't know my name   You don't know that I don't know your name  "
52974,The Script,Hall Of Fame,/t/the+script/hall+of+fame_21029614.html,"Yeah, you can be the greatest   You can be the best   You can be the King Kong banging on your chest      You can beat the world   You can beat the war   You can talk to God, go banging on his door      You can throw your hands up   You can beat the clock (yeah)   You can move a mountain   You can break rocks   You can be a master   Don't wait for luck   Dedicate yourself and you gon' find yourself      Standing in the hall of fame (yeah)   And the world's gonna know your name (yeah)   'Cause you burn with the brightest flame (yeah)   And the world's gonna know your name (yeah)   And you'll be on the walls of the hall of fame      You can go the distance   You can run the mile   You can walk straight through hell with a smile      You can be the hero   You can get the gold   Breaking all the records they thought never could be broke      Yeah, do it for your people   Do it for your pride   How are you ever gonna know if you never even try?      Do it for your country   Do it for your name   'Cause there's gonna be a day...      When you're standing in the hall of fame (yeah)   And the world's gonna know your name (yeah)   'Cause you burn with the brightest flame (yeah)   And the world's gonna know your name (yeah)   And you'll be on the walls of the hall of fame      Be a champion, be a champion, be a champion, be a champion   On the walls of the hall of fame      Be students   Be teachers   Be politicians   Be preachers   (Yeah)      Be believers   Be leaders   Be astronauts   Be champions   Be truth seekers      Be students   Be teachers   Be politicians   Be preachers      Be believers   Be leaders   Be astronauts   Be champions      Standing in the hall of fame (yeah, yeah, yeah)   And the world's gonna know your name (yeah, yeah, yeah)   'Cause you burn with the brightest flame (yeah, yeah, yeah)   And the world's gonna know your name (yeah, yeah, yeah)   And you'll be on the walls of the hall of fame      (Be a champion)   You could be the greatest   (Be a champion)   You can be the best   (Be a champion)   You can be the King Kong banging on your chest      (Be a champion)   You could beat the world   (Be a champion)   You could beat the war   (Be a champion)   You could talk to God, go banging on his door      (Be a champion)   You can throw your hands up   (Be a champion)   You can beat the clock (yeah)   (Be a champion)   You can move a mountain   (Be a champion)   You can break rocks      (Be a champion)   You can be a master   (Be a champion)   Don't wait for luck   (Be a champion)   Dedicate yourself and you gonna find yourself   (Be a champion)      Standing in the hall of fame  "
53055,Thin Lizzy,Johnny The Fox Meets Jimmy The Weed,/t/thin+lizzy/johnny+the+fox+meets+jimmy+the+weed_20136625.html,"Johnny the Fox he called to Jimmy the Weed   He said ""Hey man, I know your name""   I seen you cruising with the low riders   Hanging out down on First street and Main      Tuned into and listen to the voodoo Rhythm Devils   Around the Bay   They've got some crazy DJs   Send you right out to heaven      Jimmy the Weed for greed was taken aback   Johnny the Fox you old sly cat   Cleverly the Fox concealed his stash   Crisp dollar bills leave no tracks      In the back of a black cadillac   The voodoo music travels   Down Skid Row only black men can go   The shady deal unravels      Johnny the Fox, hot to hustle   Jimmy the Weed won't use no muscle   that cat's so sly, slick and subtle   Johnny the Fox breaks out the bottle      Tuned into and listening to   The voodoo music travels   The beating drum for the lonely one   Sends you out to heaven  "
53187,Tim McGraw,Forget About Us,/t/tim+mcgraw/forget+about+us_20137385.html,I'm gonna drive on out   To the river tonight   Find a quiet spot   Turn on my parking lights   I'm gonna drink some beers   Try to catch a buzz   Turn my radio up   And forget about us      I'm gonna lay me down   On the hood of this car   Make another wish   Upon a falling star   I'm gonna think again   About the way it was   I'm gonna close my eyes   And forget about us      [Chorus:]   I know it won't be easy   But I've got a plan   To just let my memory let go of your hand   I'm gonna miss your touch   But I know I must   Forget about us      When the morning sun   Burns across my face   I'll put my shirt back on   Get up and walk away   I'm gonna climb my frame   Onto a greyhound bus   Take a little blue pill   And forget about us      [Chorus:]      By the time I get to Phoenix   I won't know your name   Those soft green eyes   Warm skin   And the way you say good morning   And I'll be alright  
54276,Ufo,This Kid's,/u/ufo/this+kids_20686639.html,"Kid's gettin' tired, hangin' around   So cocksure, thinkin' aloud   Can't get it in, can't get it out   Sure ain't enough and there ain't no doubt   Can't stop a train with just a smile   Stop me at the start only for a while   Hole in my pocket, hole in my arm   All that's left when life's lost it's charm   This could be for us just any other day   Come on girl, we've really got to get away   It's the only chance you'll ever have to change   Stickin' in this city will drive you insane   Kid's gettin' tired, hangin' around   So cocksure, thinkin' aloud   Can't get it in, can't get out   Sure ain't enough and there ain't no doubt   Can't win or lose when there's little left to choose   Now 'til next year it'll always be the same   The black back streets and people   Who don't know your name   Go with the wind, it'll only carry us away    "
54425,Unearth,False Idols,/u/unearth/false+idols_20194665.html,"I never cared to know your name   Roll out the red it's all the same   False idols scream for our love   Compete for stage devote for name   It's all pathetically the same   Convinced of starlight beauty   A must watch all tune in   A celebration heartache   Hail false heroes      Surrender to our envy   No boundaries left untouched   No passion left for memories   No passion for real memories      Here we stand   Lessened are the far and few who sustain,   Protect and nurture      Who stands before us   We lay our lives down for the star   Who stands before us      We speak   We lay our lives down for the star   It's all pathetically the same  "
54686,Usher,Just A Friend,/u/usher/just+a+friend_20547310.html,I wanna know your name and   And I wanna know if u gotta man   I wanna know   I wanna know everything   I wanna know your number and if I can come over and   I wanna know what u like   I wanna know so I could do it all night   But u tellin' me I'm just a friend   Steding tellin' me I'm just a friend      Ooh baby you   You got what I need   But you say I'm just a friend   But you say I'm just a friend   Ooh baby you   You got what I need   But you say I'm just a friend   But you say I'm just a friend   Ooh baby you      I wanna know you in and out   I wanna know what your all about   I wanna know   I wanna know what makes you laugh   I wanna know about your past   I wanna know how you move   I wanna know so I could move too   I wanna know   But you telling me I'm just a friend   Stop telling me I'm just a friend      Ooh baby you   You got what I need   But you say I'm just a friend   But you say I'm just a friend   Ooh baby you   You got what I need      But you say I'm just a friend   But you say I'm just a friend   Ooh baby you   You got what I need      But you say I'm just a friend   But you sayi'm just a friend   Ooh baby you   You got what I need      But you say I'm just a friend   But you say I'm just a friend   Girl I want you to see   What you mean to me   And I want u to know   That I really need your fortune   And I gotta understand it      I wanna be your man   But why can't u be more than a friend to me   Ooh baby u   You got what I need   But you say I'm just a friend   But you say I'm just a friend   Ooh baby you      You got what I need   But you say I'm just a friend   But you say I'm just a friend   Ooh baby you   You got what I need   You got it      What I like and   You say I'm just a friend   But you say I'm just a friend   Ooh baby you   You got what I need   But you say I'm just a friend   But you say I'm just a friend  
54978,Venom,Muscle,/v/venom/muscle_20252507.html,Get this - Hey you girl looking at me   I need to get it on - tonight   Stop your staring unless you're free   I need someone who fits just right   Wanna hear it - All I wanna do is open you up wide      Hey you child what's your game   Put some great white muscle - In between your thighs   I need someone who fits just right   All this is physical no need to know your name   I need a woman yeah - tonight   Put some great white muscle - In between your -   Let me hear it - All I wanna do is open you up wide -   I need a woman who can last the night   I need to get it on -   c'mon play with a white man yeah   Get this - Hey you girl looking at me   Stop your staring unless you're free   I need to get it on - tonight   I need someone who fits just right   Wanna hear it - All I wanna do is open you up wide   Put some great white muscle - In between your thighs       
56125,Whiskeytown,Revenge,/w/whiskeytown/revenge_20146107.html,Whatever happened to you?   You've changed.   And I'm still wrong (? ? ? ? ? )   I know you wanted to stay so long   And I'm still alone (? ? ? )   There were no secrets   There were no stories   There was no one around   There were no reasons   There was no questions   There is no point now   Whatever happened to you?   You've changed.   And I'm still (? ? ? ? ? )   I know you wanted to stay so long   (? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? )   So tell me your secret   Did you want to see me pull my guns (? ? ? ? ? ? ? ? )   So tell me your secret   There were no stories   Nobody won   I'll give you a reason   And I'll wage a war (? ? ? ? ? ? ? ? )   With a punch from your face (? ? ? ? ? ? ? ? ? ? )   I'll stand my guard   I'll give you a reason   You might see it   You might hate it   You might never know your name (? ? ? ? ? ? )      So tell me a secret   Tell me one more lie    
56909,Xscape,Do You Want To,/x/xscape/do+you+want+to_20147678.html,"Hey baby, I want to know one thing.   Do you want me as much as I want you?   Say you do      Never should have kissed you   Never made that call   I told myself   In love I shouldn't fall   Would've been a pleasure just to know your name   Oh, look at me, silly me, now I'm back in love again   And there's nothing you can tell me   Nothing you can do   I just hope that you're in love with me   The way that I'm in love with you      [Chorus: x2]   Do you want to   Like I want to be in love with you   Say you do   Do you want to   Like I want   I want to make love to you   Say you do   Never understand it   Love that takes control   Oh, I asked myself   Girl should you let it go?   That would be to crazy   Love without you   Hate to think   Happily that you won't be around   Now there's nothing you can tell me   Nothing you can say   Promise me you'll stay with me   Until my dying day  "
57275,Ying Yang Twins,Take It Slow,/y/ying+yang+twins/take+it+slow_20538336.html,"feat. Los Vegaz)      [Chorus:]   (Ooh) Shorty of the chain right there   Baby I don't mean to stare   I want you to Know you're the shoot fo sho girl,   You a dime from head to toe   (Ooh) Ain't tryin' to win no game   Only wanna know your name, beautiful, let me know girl,   Do you think we could take it slow?      [Verse 1:]   Can I get to know ya, I wanna be ya friend   You call fo anotha, when you call every now n then   Ain't tryin' to block your grounds or even lock you down   But if you feelin' down I'll be around   I know you hear the streets, bumpin' they talks about me   I know your girls be flippin' they talks about me   Fuck what ya heard, It's all for what you see   That was me and them, this is you and me   Breakin' the Ice makin' you laugh   Others get mad tellin you that I'ma do bad, Gurl,   They don't want you wit me, Yeah we know that   But they try to get me did you know that?   I'm fo sho that, I wanna sto that   Ain't tryin to fast talk you, we can take it slow Yeah   This is Yang baby, I'm tha Yang baby   Let me thang that thang and make ya sang baby      [Chorus:]   (Ooh) Shorty of the chain right there   Baby I don't mean to stare   I want you to Know you're the shoot for sure girl,   You a dime from head to toe   (Ooh) Ain't tryin' to win no game   Only wanna know your name, beautiful, let me know girl,   Do you think we could take it slow?      [Verse 2:]   Hey Lil' mamma how ya doin' whats yo name?   Let me holla at ya, get to know ya betta   Can we get togeha and go out sometime?   Hit the movies get a bite to eat   Have a man swoop you of your feet   Compliment you on ya eyes, let him tell you nice things   And whateva you want, he buy you anything   Take a bubble bath, have a couple of laughs in tha tub   And doin' erything that make you fall in love   It might seem nothin' heard of, but it's true   I dont have a reason to lie to you   I got'cha back, just believe that   You smoke weed we could smoke us a fast sack   Kick it back and relax n watch the sunset   Doin' erything i know you haven't done yet   I'm just sayin' if you ready just let me know   cuz from here we can make our relationship grow n take it slow      [Chorus:]   (Ooh) Shorty of the chain right there   Baby I don't mean to stare   I want you to Know you're the shoot for sure girl,   You a dime from head to toe   (Ooh) Ain't tryin' to win no game   Only wanna know your name, beautiful, let mw know girl,   Do you think we could take it slow?      [Verse 3:]   Damn Shorty fine, Yea she a dime   Wanna make her mine, Playa ain't lyin'   'wake from half of tha night, she a first down   Drop a bomb and she call a nigga nurse down   6 SECONDS,5 MORE SECONDS,4 SECONDS,3 MORE SECONDS,2 SECONDS,1 MORE SECOND,NO MORE SECONDS, Shorty come in n check it   We'd 'em told you 'bout tha wild life, You need a man that'll always beat it down right   Show you things you ain't never seen in tha bedroom   So we a always make tha Bedroom Boom   We a always havin' fun when we doin' things, freaky things   If you wanna get freaky, We can get freaky   If you ready just let me know   cuz from here we can make it grow n take it slow      [Chorus:]   (Ooh) Shorty of the chain right there   Baby I don't mean to stare   I want you to Know you're the shoot for sure girl,   You a dime from head to toe   (Ooh) Ain't tryin' to win no game   Only wanna know your name, beautiful, let me know girl,   Do you think we can take it slow...   We can take it slow...   (Take It Slow....)   We can take it slow...   (Take It Slow...)   Oh girl, Yeah...  "
57623,Zebrahead,Go,/z/zebrahead/go_20148913.html,"I never wanted to go   I never wanted a way   A way to see it, believe it   I know that you're not leaving today      Caught in a trap of routine   Caught in a shitty old scene   I'll tell you a secret   I need it   Take a trip and you'll see what I mean      Time is just not, only seconds in a day   'Cause what you got, can be taken all away   With just one shot, yeah nothings here to stay   Why don't you get up? 'Cause this ime it's going down      Wanting and waiting   Dreams are fading   Things will never be the same   Ever changing and rearranging   Will you notice anyway?      I never really wanted to go   I never really wanted a way   A way to see it, believe it   I know that you're not leaving today      One day you'll look, and see that things are not the same   The time you took, has been taken all away   The hands you shook, don't even know your name   You better get up cause this time it's going down      I never really wanted to go   I never really wanted a way   A way to see it, believe it   I know that you're not leaving today      Take a look and see that things are not the same  "
